card,effect
ABC-Dragon Buster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your Graveyard. (You do not use ""Polymerization"".) Once per turn, during either player's turn: You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn: You can Tribute this card, then target 3 of your banished LIGHT Machine-Type Union monsters with different names; Special Summon them (this is a Quick Effect)."
Abominable Chamber of the Unchained,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn."
Abomination's Prison,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn."
Absolute Crusader,When a Level 5 or higher monster is Special Summoned: Tribute this face-up card on the field; destroy that Level 5 or higher monster.
Absolute End,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks."
Absolute King Back Jack,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn."
Absorb Fusion,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.
● Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.
You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters."
Absorbing Jar,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn."
Absorbing Kid from the Sky,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points."
Absorouter Dragon,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn."
Abyss Actor - Comic Relief,"[ Pendulum Effect ]
You can target 1 monster your opponent controls and 1 ""Abyss Actor"" Pendulum Monster you control; switch control of those monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.
----------------------------------------
[ Monster Effect ]
You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this card is changed: Activate this effect; this card's owner can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone."
Abyss Actor - Curtain Raiser,"[ Pendulum Effect ]
If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.
----------------------------------------
[ Monster Effect ]
Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand."
Abyss Actor - Evil Heel,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card."
Abyss Actor - Extras,"[ Pendulum Effect ]
If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn.
----------------------------------------
[ Monster Effect ]
You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn."
Abyss Actor - Funky Comedian,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn."
Abyss Actor - Leading Lady,"[ Pendulum Effect ]
Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;● That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).● Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.
----------------------------------------
[ Monster Effect ]
Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck."
Abyss Actor - Mellow Madonna,"[ Pendulum Effect ]
You can pay 1000 LP; add 1 ""Abyss Actor"" Pendulum Monster from your Deck to your hand, except ""Abyss Actor - Mellow Madonna"", also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters (even if this card leaves the field). You can only use this effect of ""Abyss Actor - Mellow Madonna"" once per turn.
----------------------------------------
[ Monster Effect ]
Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.
● When your Pendulum Monster is destroyed by battle: You can Special Summon this card from your hand.
● If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase."
Abyss Actor - Sassy Rookie,"[ Pendulum Effect ]
If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.
----------------------------------------
[ Monster Effect ]
The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it."
Abyss Actor - Superstar,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell Card in your Graveyard; add it to your hand.
----------------------------------------
[ Monster Effect ]
When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck, but it is sent to the Graveyard during the End Phase."
Abyss Actor - Trendy Understudy,"[ Pendulum Effect ]
When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.
----------------------------------------
[ Monster Effect ]
If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn."
Abyss Actor - Twinkle Littlestar,"[ Pendulum Effect ]
You cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn, it can make a second and third attack on monsters during each Battle Phase, also other monsters you control cannot attack (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
Cannot be destroyed by battle during your turn. This card can make a second and third attack on monsters during each Battle Phase."
Abyss Actor - Wild Hope,"[ Pendulum Effect ]
Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn."
Abyss Actors Back Stage,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn."
Abyss Actors' Curtain Call,"If an ""Abyss Script"" Spell Card or effect was activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY, then you can Special Summon ""Abyss Actor"" Pendulum Monsters with different names from your hand, up to the number of monsters added to your hand. For the rest of this turn after this card resolves, you cannot Special Summon monsters, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors Curtain Call"" per turn."
Abyss Dweller,"2 Level 4 monsters
While this card has an Xyz Material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; any card effects that activate in your opponent's Graveyard cannot be activated this turn."
Abyss Flower,A rarely seen flower that blossoms quietly on the edge of darkness.
Abyss Playhouse - Fantastic Theater,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand with a different name from that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster, your opponent's activated monster effect becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn."
Abyss Prop - Wild Wagon,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn, it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand."
Abyss Script - Abysstainment,"You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck."
Abyss Script - Fantasy Magic,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck."
Abyss Script - Fire Dragon's Lair,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn."
Abyss Script - Opening Ceremony,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn."
Abyss Script - Rise of the Abyss King,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spell Cards with different names from your Deck to your hand."
Abyss Script - Romantic Terror,"Return 1 “Abyss Actor” Pendulum Monster you control to the hand, and if you do, Special Summon from your Extra Deck 1 face-up “Abyss Actor” Pendulum Monster with a different original name from that monster. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up “Abyss Actor” Pendulum Monster in your Extra Deck: You can Set any number of “Abyss Script” Spells directly from your Deck to your Spell & Trap Zones. You can only activate 1 “Abyss Script - Romantic Terror” per turn."
Abyss Soldier,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.
Abyss Stungray,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle."
Abyss Warrior,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck."
Abyss-scale of Cetus,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Trap effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard."
Abyss-scale of the Kraken,"Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard."
Abyss-scale of the Mizuchi,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Spell effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard."
Abyss-scorn,"Target 1 ""Mermail"" monster you control; it gains 1000 ATK until the End Phase. When this Set card is sent to the Graveyard: Target 1 monster your opponent controls; send that target to the Graveyard."
Abyss-sphere,"Special Summon 1 ""Mermail"" monster from your Deck. Its effects are negated. You cannot activate any Spell Cards. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation."
Abyss-squall,"Target 3 ""Mermail"" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase."
Abyss-strom,"Send 1 face-up ""Umi"" you control to the Graveyard; send all Spell and Trap Cards on the field to the Graveyard."
Abyssal Designator,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.
Abyssal Kingshark,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed."
Accel Synchron,"1 Tuner + 1 or more non-Tuner monsters
Once per turn: You can send 1 ""Synchron"" monster from your Deck to the Graveyard, then activate 1 of these effects;
● Increase this card's Level by the Level of the monster sent to the Graveyard by this effect.
● Reduce this card's Level by the Level of the monster sent to the Graveyard by this effect. During your opponent's Main Phase, you can: Immediately after this effect resolves, Synchro Summon using this card you control (this is a Quick Effect). You can only Synchro Summon ""Accel Synchron"" once per turn."
Accellight,"If you control no monsters: Special Summon 1 Level 4 or lower ""Photon"" or ""Galaxy"" monster from your Deck. You can only activate 1 ""Accellight"" per turn. You cannot Normal Summon/Set during the turn you activate this card."
Accumulated Fortune,Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that Chain.
Achacha Archer,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.
Achacha Chanbara,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent."
Achichi @Ignister,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand, except ""Achichi @Ignister"". At the start of the Damage Step, if your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn."
Acid Crawler,A giant caterpillar that secretes an acid mist that melts anything.
Acid Rain,Destroy all face-up Machine-Type monsters on the field.
Acid Trap Hole,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000."
Acidic Downpour,All EARTH monsters lose 500 ATK and gain 400 DEF.
Acorno,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
Acrobat Monkey,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Acrobatic Magician,"[ Pendulum Effect ]
When a monster(s) you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Acrobatic Magician"" once per turn.
----------------------------------------
[ Monster Effect ]
If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone."
Action Magic - Double Banking,"Discard 1 card; if a monster you currently control destroys an opponent's monster by battle this turn, that monster can make a second attack in a row. During your Main Phase, if this card is in your GY, except the turn this card was sent to the GY: You can discard 1 Spell; Set this card to your Spell & Trap Zone."
Action Magic - Full Turn,"This turn, any battle damage either player takes from battles involving 2 monsters is doubled. During your Main Phase, if this card is in your GY, except the turn this card was sent to the GY: You can discard 1 Spell; Set this card to your Spell & Trap Zone."
Adhesion Trap Hole,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.
Adhesive Explosive,"Before damage calculation, if this card was attacked by your opponent's monster and was in face-down Defense Position card at the start of Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to."
"Adreus, Keeper of Armageddon","2 Level 5 monsters
Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it."
Advance Draw,Tribute 1 face-up Level 8 or higher monster you control; draw 2 cards.
Advance Force,You can Tribute 1 Level 5 or higher monster to Tribute Summon a Level 7 or higher monster.
Advance Zone,"Once per turn, during the End Phase of any turn in which you Tribute Summoned a monster(s): You can apply these effects, in sequence, based on the number of monsters you Tributed for Tribute Summons this turn.
● 1 or more: Destroy 1 Set card your opponent controls.
● 2 or more: Draw 1 card.
● 3 or more: Add 1 monster from your Graveyard to your hand."
Advanced Dark,"All ""Crystal Beast"" monsters on the field and in the Graveyard become DARK. If ""Rainbow Dragon"" or ""Rainbow Dark Dragon"" attacks, negate the effects of the attack target during that Battle Phase. During damage calculation, if a ""Crystal Beast"" monster you control battles and you would take damage: You can send 1 ""Crystal Beast"" monster from your Deck to the Graveyard; you take no Battle Damage from that battle."
Advanced Heraldry Art,"Target 2 ""Heraldic Beast"" monsters in your Graveyard; Special Summon both those targets. Immediately after this card resolves, Xyz Summon 1 Xyz Monster using those 2 monsters only."
Advanced Ritual Art,This card can be used to Ritual Summon any 1 Ritual Monster. You must also send Normal Monsters from your Deck to the Graveyard whose total Levels equal the Level of that Ritual Monster.
Aegaion the Sea Castrum,"2 Level 8 monsters
During either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck, face-up, and if you do, this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card, then target 1 of your opponent's banished Fusion, Synchro, or Xyz Monsters; return it to the Extra Deck, and if you do, destroy 1 monster your opponent controls with the same monster card type (Fusion, Synchro, or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn."
Aegis of Gaia,"Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage."
Aegis of the Ocean Dragon Lord,"Until the End Phase, face-up Level 3 or lower WATER monsters you control cannot be destroyed by battle or by card effects."
Aerial Recharge,"Once per turn: You can Special Summon 1 ""Mecha Phantom Beast Token"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0). During each player's End Phase, Tribute 1 Token or ""Mecha Phantom Beast"" monster, or send this card to the Graveyard."
"Aether, the Empowering Dragon","When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn."
"Aether, the Evil Empowering Dragon","[ Pendulum Effect ]
Once per turn: You can banish 1 ""Empowered Warrior"" monster from your Graveyard, then target 1 card on the field; destroy it.
----------------------------------------
[ Monster Effect ]
When this card is Normal or Special Summoned: You can target 1 monster on the field; banish it."
After the Storm,If there are no other cards on the field: Target 1 WATER or WIND monster in your Graveyard; add that target to your hand.
After The Struggle,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.
Against the Wind,"Select 1 ""Blackwing"" monster in your Graveyard. Take damage equal to the ATK of the selected monster, and add it to your hand."
Agave Dragon,"2+ monsters, except Tokens
If this card is Link Summoned: You can apply these effects in sequence, depending on the Types of monsters in the GYs (skip over any that do not apply). You can only use this effect of ""Agave Dragon"" once per turn.
●Inflict 100 damage to your opponent for each Dragon.
●This card gains 200 ATK for each Dinosaur.
●All monsters your opponent currently controls lose 300 ATK for each Sea Serpent.
●You gain 400 LP for each Wyrm."
Agido,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)"
"Ahrima, the Wicked Warden","You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn."
Air Armor Ninja,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1."
Air Cracking Storm,Equip only to a Machine monster. When that attacking monster destroys your opponent's monster by battle: You can activate this effect; it can make a second attack during this Battle Phase. Your other monsters cannot attack the turn you activate this effect.
